Date: Time, TimeSinceLoad(s), PPID, TimeStamp (Shimmer),Skin Conductance,Skin Resistance,PPG,HRV,Heart Rate,X (Shimmer),Y (Shimmer),Z (Shimmer),Gyro P (Shimmer),Gyro R (Shimmer),Gyro Y (Shimmer),Event
0:25/12/2019 16:59:07.188,2.856775, 4_Baseline, 436014.7904716, 2826, 1013.48870849609, 1320.87915039063, 687.5, 87.2727279663086, -4.93357276916504, -4.48354291915894, 7.53560733795166, 0.0152671756222844, 0.244274809956551, 0.854961812496185,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856799, 4_Baseline, 436014.7906195, 2826, 1013.48870849609, 1321.61169433594, 687.5, 87.2727279663086, -4.94554138183594, -4.42609214782715, 7.54278898239136, 0.152671754360199, 0.671755731105804, 1.22137403488159,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856821, 4_Baseline, 436014.792584, 2826, 1013.48870849609, 1324.54211425781, 687.5, 87.2727279663086, -4.92878532409668, -4.44524240493774, 7.55475759506226, 0.274809151887894, 1.40458011627197, 1.26717555522919,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856843, 4_Baseline, 436014.8144753, 2825, 1013.95709228516, 1331.8681640625, 687.5, 87.2727279663086, -4.94075393676758, -4.46678638458252, 7.52603244781494, 0.0763358771800995, 1.51145040988922, 1.45038163661957,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.85687, 4_Baseline, 436014.814614, 2825, 1013.95709228516, 1339.19409179688, 687.5, 87.2727279663086, -4.94554138183594, -4.46678638458252, 7.52124452590942, 0.198473289608955, 1.54198467731476, 1.23664116859436,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856892, 4_Baseline, 436014.8184854, 2825, 1013.95709228516, 1347.25280761719, 687.5, 87.2727279663086, -4.93357276916504, -4.49311780929565, 7.49730682373047, 0.534351170063019, 1.89312982559204, 1.49618315696716,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856916, 4_Baseline, 436014.8403585, 2825, 1013.95709228516, 1352.38098144531, 687.5, 87.2727279663086, -4.96229791641235, -4.47396755218506, 7.48773193359375, 0.885496199131012, 1.92366409301758, 1.52671754360199,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856938, 4_Baseline, 436014.8405604, 2824, 1014.42596435547, 1354.57873535156, 687.5, 87.2727279663086, -4.94554138183594, -4.48114919662476, 7.49491310119629, 0.488549619913101, 2.41221380233765, 1.58778631687164,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856963, 4_Baseline, 436014.8407612, 2824, 1014.42596435547, 1357.50915527344, 687.5, 87.2727279663086, -4.96947956085205, -4.45721101760864, 7.49730682373047, 0.427480906248093, 2.36641216278076, 1.52671754360199,Starts - Go Pro
0:25/12/2019 16:59:07.188,2.856987, 4_Baseline, 436014.84232, 2824, 1014.42596435547, 1361.90478515625, 687.5, 87.2727279663086, -4.97426700592041, -4.4500298500061, 7.48533821105957, 0.47328245639801, 2.29007625579834, 1.54198467731476,Starts - Go Pro
