timestamp,TIMESTAMP,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV,TEMP
20644.63191,1421199.75,-4.529024601,8.052662849,-1.041292667,-1.02290082,-2.030534267,-1.374045849,283.1497498,3032,2005.86084,55.65217209,1078.125,0
20644.64019,1421207.625,-4.574506283,8.06223774,-0.981448233,-1.496183157,-1.847328186,-1.450381637,283.1497498,3032,2063.003662,55.65217209,1078.125,0
20644.65491,1421215.375,-4.58168745,8.11250782,-0.950329125,-1.755725145,-1.648854971,-1.832061052,283.029541,3033,2096.703369,55.65217209,1078.125,0
20644.65605,1421223.25,-4.596050262,8.153202057,-0.971873105,-1.862595439,-1.633587837,-2.549618244,283.029541,3033,2108.424805,55.65217209,1078.125,0
20644.66605,1421231,-4.584081173,8.138838768,-0.986235797,-1.419847369,-1.862595439,-2.366412163,283.1497498,3032,2100.366211,55.65217209,1078.125,0
20644.67603,1421238.875,-4.61520052,8.157989502,-0.900059819,-1.236641169,-1.587786317,-2.595419884,283.1497498,3032,2079.853516,55.65217209,1078.125,0
20644.67708,1421246.625,-4.636744499,8.148413658,-0.916816294,-0.900763333,-0.854961812,-2.870229006,283.029541,3033,2043.956055,55.65217209,1078.125,0
20644.68644,1421254.5,-4.622381687,8.110114098,-0.902453601,-0.473282456,-0.335877866,-2.946564913,283.2700806,3031,2001.46521,55.65217209,1078.125,0
20644.68745,1421262.25,-4.59365654,8.117295265,-0.938360274,-0.351145029,-0.320610672,-3.068702221,283.2700806,3031,1951.648315,55.65217209,1078.125,0
20644.70485,1421270.125,-4.57211256,8.095750809,-0.938360274,-0.641221344,-0.53435117,-3.221374035,283.1497498,3032,1896.703247,55.65217209,1078.125,0
20644.71482,1421277.875,-4.567325115,8.045481682,-0.98862958,-0.473282456,-0.717557251,-2.427480936,283.1497498,3032,1842.490845,55.65217209,1078.125,0
20644.72092,1421285.75,-4.550568581,8.040694237,-0.991023362,-0.793893158,-1.038167953,-2.519083977,283.2700806,3031,1791.20874,55.65217209,1078.125,0
20644.72877,1421293.5,-4.545781136,8.004787445,-0.981448233,-0.778625965,-1.083969474,-2.076335907,283.2700806,3031,1742.857178,55.65217209,1078.125,0
20644.72985,1421301.375,-4.548174858,7.98803091,-0.964691818,-1.02290082,-0.748091578,-1.801526666,283.2700806,3031,1705.494507,55.65217209,1078.125,0
20644.74488,1421309.125,-4.562537193,8.002393723,-1.000598431,-0.839694679,-0.961832047,-1.389312983,283.1497498,3032,1674.72522,55.65217209,1078.125,0
20644.75273,1421317,-4.540993214,8.069419861,-0.986235797,-1.053435087,-0.885496199,-0.931297719,283.2700806,3031,1645.421265,55.65217209,1078.125,0
20644.75388,1421324.75,-4.552962303,8.078994751,-0.998204648,-1.282442689,-1.083969474,-0.687022924,283.2700806,3031,1624.175781,55.65217209,1078.125,0
20644.76881,1421332.625,-4.600837708,8.134051323,-0.919210076,-1.389312983,-0.763358772,-1.312977076,283.2700806,3031,1605.86084,55.65217209,1078.125,0
20644.77365,1421340.375,-4.600837708,8.167564392,-0.931178927,-1.236641169,-0.24427481,-2.488549709,283.2700806,3031,1591.20874,55.65217209,1078.125,0
20644.78374,1421348.25,-4.58168745,8.146019936,-0.919210076,-0.519083977,-0.48854962,-3.038167953,283.3904724,3030,1574.359009,55.65217209,1078.125,0
20644.79472,1421356,-4.596050262,8.150808334,-0.928785145,-0.4427481,-0.53435117,-3.55725193,283.2700806,3031,1558.241699,55.65217209,1078.125,0
20644.79573,1421363.875,-4.58168745,8.16517067,-0.938360274,0.045801528,-0.4427481,-3.541984797,283.2700806,3031,1539.194092,55.65217209,1078.125,0
20644.80283,1421371.625,-4.574506283,8.076601028,-0.940754056,-0.381679386,-0.519083977,-2.992366314,283.1497498,3032,1519.41394,55.65217209,1078.125,0
20644.8086,1421379.5,-4.59365654,8.095750809,-0.976660669,-0.732824445,-0.916030526,-2.58015275,283.3904724,3030,1498.168457,55.65217209,1078.125,0
20644.83467,1421387.25,-4.550568581,8.033513069,-0.969479382,-0.625954211,-0.519083977,-2.702290058,283.2700806,3031,1477.65564,55.65217209,1078.125,0
20644.83577,1421395.125,-4.567325115,7.954518318,-0.986235797,-1.755725145,-1.282442689,-1.282442689,283.2700806,3031,1457.142822,55.65217209,1078.125,0
20644.837,1421402.875,-4.588869095,7.947337151,-0.981448233,-0.946564913,-0.854961812,-0.793893158,283.1497498,3032,1436.630005,55.65217209,1078.125,0
20644.84893,1421410.75,-4.619987965,7.932974339,-0.983842015,-0.870229006,-0.458015263,-1.145038128,283.2700806,3031,1415.384644,55.65217209,1078.125,0
20644.85,1421418.5,-4.619987965,7.973668575,-0.950329125,-1.603053451,-0.076335877,-0.732824445,283.2700806,3031,1392.67395,55.65217209,1078.125,0
20644.87855,1421426.375,-4.524237156,8.045481682,-0.976660669,-1.847328186,-0.748091578,0.58015269,283.1497498,3032,1372.161133,55.65217209,1078.125,0
20644.88633,1421434.125,-4.543387413,8.035906792,-0.981448233,-1.129770994,-1.06870234,0.351145029,283.2700806,3031,1354.578735,55.65217209,1078.125,0
20644.88741,1421442,-4.60323143,8.1316576,-0.957510471,-0.778625965,-0.412213743,-0.854961812,283.2700806,3031,1342.124512,55.65217209,1078.125,0
20644.88953,1421449.75,-4.540993214,8.129263878,-0.919210076,-1.160305381,-0.106870227,-0.53435117,283.3904724,3030,1338.461548,55.65217209,1078.125,0
20644.89067,1421457.625,-4.543387413,8.129263878,-0.957510471,-1.358778596,-1.145038128,0.091603056,283.3904724,3030,1341.391968,55.65217209,1078.125,0
20644.89591,1421465.375,-4.567325115,8.169958115,-0.974266887,-0.412213743,-0.381679386,-0.732824445,283.1497498,3032,1350.183105,55.65217209,1078.125,0
